outcome,outcome_label,operation,operation_class,workload_size,concurrency,valid_pairs,traditional_median,traditional_q1,traditional_q3,fabric_median,fabric_q1,fabric_q3,paired_median_difference,difference_ci95_low,difference_ci95_high,paired_median_ratio,ratio_ci95_low,ratio_ci95_high,wilcoxon_statistic,wilcoxon_w_plus,wilcoxon_w_minus,wilcoxon_nonzero_pairs,p_value_unadjusted,rank_biserial_fabric_minus_traditional,p_value_holm,holm_significant_0_05
p95_latency_ms,P95 latency,OP1,ledger_write,100,1,10,19.0095331,15.5199195625,42.4302263375,2240.14023417,2231.13884085,2270.09797914,2217.319347,2186.07840015,2252.94343643,119.636582187,51.1611512535,155.384054355,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,100,5,10,48.8095421,44.5527663125,76.353923175,2226.7718067,2208.7739358,2267.61400434,2173.3143381,2117.57844242,2217.06411505,46.5131338331,25.7648521451,49.7209967506,1,54,1,10,0.00390625,0.963636363636,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,100,10,10,127.08835255,111.903952825,156.9954201,603.749242925,353.420717738,814.572993462,408.184772175,210.8054039,709.38396975,4.21258350951,2.48194871737,6.95148574768,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,500,1,10,21.7255971,16.78469165,28.0629719875,2212.4571373,2200.13016367,2253.15576603,2187.67756332,2171.89435715,2245.88017655,103.01720826,77.0895153877,137.833606821,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,500,5,10,50.464528675,40.289080725,66.5571650625,2262.85464407,2217.30277767,2309.52119433,2176.97736087,2159.0638469,2254.92224655,44.5909608279,34.0455439319,56.7025967025,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,500,10,10,123.494529175,88.4414687875,147.868548025,492.06097595,415.626298525,513.229928287,361.44297575,297.56081955,1007.4976268,4.68357931029,3.42728698834,7.75877123111,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,1000,1,10,22.42047935,19.6647489375,26.973359,2229.7131578,2205.68518251,2245.11590469,2210.55752348,2175.69783295,2227.63008287,99.5203953549,80.261171419,127.238406597,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,1000,5,10,49.6428422,34.725447875,61.5091948875,2265.29495812,2242.56186499,2283.77476776,2229.4690107,2178.91515475,2237.43238118,44.7781027152,38.7298576218,67.1991499871,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP1,ledger_write,1000,10,10,151.693896025,134.507501012,177.89379705,467.8637299,435.22829495,523.288843225,298.895554925,243.7619258,373.997651925,3.00273105361,2.46281844001,3.78100725705,9,46,9,10,0.064453125,0.672727272727,0.064453125,False
p95_latency_ms,P95 latency,OP2,read_check,100,1,10,8.401086175,7.64955435,8.66770165,24.7567191,24.380682175,30.7921465,16.6478907,15.04006005,25.04542505,2.97558226051,2.82748699461,3.97608246179,1,54,1,10,0.00390625,0.963636363636,0.017578125,True
p95_latency_ms,P95 latency,OP2,read_check,100,5,10,22.140031125,18.5574562125,29.1110663,69.795902725,65.2734827875,75.4145368625,45.42118285,37.078222375,54.72760325,3.25875266615,2.19654222924,3.80689363163,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP2,read_check,100,10,10,73.9719255,66.1450121375,89.9828072375,347.12352145,198.086396087,448.885705863,272.5551404,108.276826425,411.618152475,4.6161534502,2.33061956087,6.3026098059,1,54,1,10,0.00390625,0.963636363636,0.017578125,True
p95_latency_ms,P95 latency,OP2,read_check,500,1,10,10.7328511,8.329431725,14.546076475,39.8161188,34.9828163375,41.44059565,27.00924705,22.11152935,36.48289,3.4985746303,2.73000033067,5.13867995824,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP2,read_check,500,5,10,25.188779025,18.12623,40.210184975,114.019104375,98.0684234375,130.240432087,80.839338825,68.8545241,97.64083485,4.02978711678,2.78257442666,5.68144162737,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP2,read_check,500,10,10,85.376499475,79.50259125,95.5045875625,349.23562935,336.876017662,378.423251137,254.98425945,226.69432365,296.13815135,3.91282927977,3.12727652954,4.58817340142,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP2,read_check,1000,1,10,11.00515705,10.552815275,11.9533578875,39.40656695,37.47967065,51.259139475,28.43666155,24.4446707,41.0227577,3.61960313673,3.20361142574,4.72165050149,0,55,0,10,0.001953125,1,0.017578125,True
