pair_id,repetition,workload_size,concurrency,fabric_bytes,traditional_bytes,fabric_traditional_ratio
final-20260805T122631Z-11a3fbb-n0100-c01-r01,1,100,1,190275584,48615424,3.91389333558
final-20260805T122631Z-11a3fbb-n0100-c01-r02,2,100,1,190271488,48451584,3.92704370615
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,100,1,190263296,48615424,3.91364057629
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,100,1,190271488,48615424,3.91380908248
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,100,1,190271488,48615424,3.91380908248
final-20260805T122631Z-11a3fbb-n0100-c01-r06,6,100,1,190275584,48451584,3.92712824415
final-20260805T122631Z-11a3fbb-n0100-c01-r07,7,100,1,190263296,48615424,3.91364057629
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,100,1,190263296,48615424,3.91364057629
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,100,1,190255104,48451584,3.92670555415
final-20260805T122631Z-11a3fbb-n0100-c01-r10,10,100,1,190263296,48451584,3.92687463015
final-20260805T122631Z-11a3fbb-n0100-c05-r01,1,100,5,189358080,48525312,3.90225373512
final-20260805T122631Z-11a3fbb-n0100-c05-r02,2,100,5,189378560,48525312,3.9026757829
final-20260805T122631Z-11a3fbb-n0100-c05-r03,3,100,5,189358080,48525312,3.90225373512
final-20260805T122631Z-11a3fbb-n0100-c05-r04,4,100,5,189366272,48500736,3.90439996622
final-20260805T122631Z-11a3fbb-n0100-c05-r05,5,100,5,189358080,48525312,3.90225373512
final-20260805T122631Z-11a3fbb-n0100-c05-r06,6,100,5,189333504,48525312,3.90174727779
final-20260805T122631Z-11a3fbb-n0100-c05-r07,7,100,5,189370368,48525312,3.90250696379
final-20260805T122631Z-11a3fbb-n0100-c05-r08,8,100,5,189358080,49000448,3.86441528045
final-20260805T122631Z-11a3fbb-n0100-c05-r09,9,100,5,189358080,48525312,3.90225373512
final-20260805T122631Z-11a3fbb-n0100-c05-r10,10,100,5,189349888,48525312,3.90208491601
final-20260805T122631Z-11a3fbb-n0100-c10-r01,1,100,10,189046784,48599040,3.88992836072
final-20260805T122631Z-11a3fbb-n0100-c10-r02,2,100,10,189227008,48631808,3.89101322328
final-20260805T122631Z-11a3fbb-n0100-c10-r03,3,100,10,189210624,48787456,3.87826378977
final-20260805T122631Z-11a3fbb-n0100-c10-r04,4,100,10,189054976,48631808,3.8874757854
final-20260805T122631Z-11a3fbb-n0100-c10-r05,5,100,10,189063168,48582656,3.89157743866
final-20260805T122631Z-11a3fbb-n0100-c10-r06,6,100,10,189054976,48787456,3.87507346151
final-20260805T122631Z-11a3fbb-n0100-c10-r07,7,100,10,189063168,48631808,3.88764423482
final-20260805T122631Z-11a3fbb-n0100-c10-r08,8,100,10,189190144,48787456,3.87784400974
final-20260805T122631Z-11a3fbb-n0100-c10-r09,9,100,10,189153280,48746496,3.8803461894
final-20260805T122631Z-11a3fbb-n0100-c10-r10,10,100,10,189046784,48779264,3.87555630196
final-20260805T122631Z-11a3fbb-n0500-c01-r01,1,500,1,217206784,50008064,4.34343517078
final-20260805T122631Z-11a3fbb-n0500-c01-r02,2,500,1,217243648,49975296,4.34702073601
final-20260805T122631Z-11a3fbb-n0500-c01-r03,3,500,1,217214976,50032640,4.34146541138
final-20260805T122631Z-11a3fbb-n0500-c01-r04,4,500,1,217214976,49975296,4.34644701254
final-20260805T122631Z-11a3fbb-n0500-c01-r05,5,500,1,217178112,50057216,4.33859749611
final-20260805T122631Z-11a3fbb-n0500-c01-r06,6,500,1,217210880,49983488,4.34565270835
final-20260805T122631Z-11a3fbb-n0500-c01-r07,7,500,1,217149440,49975296,4.34513564462
final-20260805T122631Z-11a3fbb-n0500-c01-r08,8,500,1,217235456,49991680,4.34543219992
final-20260805T122631Z-11a3fbb-n0500-c01-r09,9,500,1,217206784,49975296,4.34628309155
final-20260805T122631Z-11a3fbb-n0500-c01-r10,10,500,1,217190400,49983488,4.34524297304
final-20260805T122631Z-11a3fbb-n0500-c05-r01,1,500,5,212541440,49950720,4.25502255023
final-20260805T122631Z-11a3fbb-n0500-c05-r02,2,500,5,212615168,49975296,4.25440537661
final-20260805T122631Z-11a3fbb-n0500-c05-r03,3,500,5,212516864,49950720,4.25453054531
final-20260805T122631Z-11a3fbb-n0500-c05-r04,4,500,5,212553728,49942528,4.25596653818
final-20260805T122631Z-11a3fbb-n0500-c05-r05,5,500,5,212549632,49942528,4.25588452391
final-20260805T122631Z-11a3fbb-n0500-c05-r06,6,500,5,212500480,49934336,4.25559839226
final-20260805T122631Z-11a3fbb-n0500-c05-r07,7,500,5,212578304,49958912,4.25506272034
final-20260805T122631Z-11a3fbb-n0500-c05-r08,8,500,5,212541440,49958912,4.25432483398
final-20260805T122631Z-11a3fbb-n0500-c05-r09,9,500,5,212574208,49950720,4.25567855679
final-20260805T122631Z-11a3fbb-n0500-c05-r10,10,500,5,212541440,50188288,4.23488125357
final-20260805T122631Z-11a3fbb-n0500-c10-r01,1,500,10,211849216,49942528,4.24186008365
final-20260805T122631Z-11a3fbb-n0500-c10-r02,2,500,10,211726336,49958912,4.23800934656
final-20260805T122631Z-11a3fbb-n0500-c10-r03,3,500,10,211914752,49958912,4.24178076576
final-20260805T122631Z-11a3fbb-n0500-c10-r04,4,500,10,211755008,49999872,4.23511100188
final-20260805T122631Z-11a3fbb-n0500-c10-r05,5,500,10,211927040,49950720,4.24272242722
final-20260805T122631Z-11a3fbb-n0500-c10-r06,6,500,10,211746816,49950720,4.23911439114
final-20260805T122631Z-11a3fbb-n0500-c10-r07,7,500,10,211730432,49950720,4.23878638786
final-20260805T122631Z-11a3fbb-n0500-c10-r08,8,500,10,211718144,49975296,4.23645602819
final-20260805T122631Z-11a3fbb-n0500-c10-r09,9,500,10,211816448,49975296,4.23842308008
final-20260805T122631Z-11a3fbb-n0500-c10-r10,10,500,10,211918848,49999872,4.23838781027
final-20260805T122631Z-11a3fbb-n1000-c01-r01,1,1000,1,250732544,51646464,4.85478626378
final-20260805T122631Z-11a3fbb-n1000-c01-r02,2,1000,1,250843136,51703808,4.85154083815
final-20260805T122631Z-11a3fbb-n1000-c01-r03,3,1000,1,250880000,51679232,4.85456130617
final-20260805T122631Z-11a3fbb-n1000-c01-r04,4,1000,1,250880000,51679232,4.85456130617
